movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.629019 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.629213 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.629553 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.629747 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.629941 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.630184 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.630475 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.630669 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.630864 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.631203 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.631397 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.631689 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.63198 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.632125 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.632417 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.632659 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.632853 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.633145 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.633339 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.633679 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.633873 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.634067 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.63431 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.634601 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.634795 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.634989 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.635329 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.635523 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.635717 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.636057 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.636251 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.636445 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.636785 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.636979 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.637271 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.637562 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.637707 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.637999 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.638242 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.638436 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.638727 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.638921 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.639261 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.639455 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.639649 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.639892 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.640183 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.640377 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.640571 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.640911 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.641105 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.641397 | angle to goal: 1.570796
